id,text
1,"Absolutely love this product! It arrived early and works perfectly."
2,"Terrible experience. The item stopped working after two days."
3,"Delivery was fast but the packaging was damaged."
4,"Customer support resolved my issue quickly. Very satisfied."
5,"The quality is okay, nothing special for the price."
6,"I want a refund. The product arrived broken."
7,"Five stars! Exceeded all my expectations."
8,"The app crashes every time I try to upload a file."
9,"Shipping took two weeks longer than promised."
10,"The interface is clean and easy to use."
11,"Battery life is disappointing, but performance is excellent."
12,"I was charged twice for my order."
13,"Support kept transferring me between agents without solving anything."
14,"Works exactly as advertised. Highly recommend."
15,"It's fine, I guess. Not great, not terrible."
16,"The replacement arrived quickly, and now everything works."
17,"Product quality is excellent, but customer service is awful."
18,"I can't log in after the latest update."
19,"The instructions were confusing and incomplete."
20,"Amazing value for money. I'll definitely buy again."
21,"This is the worst purchase I've made all year."
22,"I expected better build quality at this price."
23,"Refund was processed without any hassle."
24,"The color doesn't match the photos, but functionality is good."
25,"Nothing happened. It just works."
26,"Wow, another 'premium' product that fails on day one. Fantastic."
27,"The software is fast, reliable, and easy to configure."
28,"The product itself is good, but shipping was extremely slow and support never replied."
29,"My payment failed even though my bank confirmed the transaction."
30,"Please add dark mode and offline support in the next release."
